name,artist
From the Inside,Linkin Park
I Hate Everything About You,Three Days Grace
Animal I Have Become,Three Days Grace
Comatose,Skillet
Decadence,Disturbed
Another Life,Motionless In White
Can You Feel My Heart,Bring Me The Horizon
Psychosocial,Slipknot
Chop Suey!,System Of A Down
Wait and Bleed,Slipknot
Darkness,SWEET SPINE
Change (In the House of Flies),Deftones
I Am Machine,Three Days Grace
Time of Dying,Three Days Grace
Lonely Day,System Of A Down
Before I Forget,Slipknot
Faint,Linkin Park
Duality,Slipknot
Ich will,Rammstein
Stricken,Disturbed
Your Betrayal,Bullet For My Valentine
Painkiller,Three Days Grace
Between Angels And Insects,Papa Roach
Inside the Fire,Disturbed
Bodies,Drowning Pool
Down with the Sickness,Disturbed
Obsolete,Of Mice & Men
Courtesy Call,Thousand Foot Krutch
Hell,Disturbed
Moth,HELLYEAH
Home,Three Days Grace
Misery,Memphis May Fire
Shut Your Mouth,PAIN
Shapeshifter (feat. Styles of Beyond),"Celldweller, Styles Of Beyond"
The Diary of Jane - Single Version,Breaking Benjamin
You're Going Down,SICK PUPPIES
Tears Don't Fall,Bullet For My Valentine
Unsainted,Slipknot
Indestructible,Disturbed
The Only,Static-X
My Nemesis,Five Finger Death Punch
The Rumbling,SiM
Riot,Three Days Grace
Hand Of Blood,Bullet For My Valentine
Heavy Is the Crown,Linkin Park
