name,artist
Eyes Without A Face,Sinnerella
Must Have Been A Dream,Computer Kill
Bloody Kisses,Camp Blu
i'm scared to close my eyes,Aspen Forest
The Unknowing,Jfarrari
Jet Skis On The Moat,Arctic Monkeys
The Ultracheese,Arctic Monkeys
The Way Things Go,chromas
Flower Moon,"Durand Jones & The Indications, Aaron Frazer"
"Call It Fate, Call It Karma",The Strokes
All I Need,Radiohead
The Adults Are Talking,The Strokes
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths
Tessellate,alt-J
Slow Animals,The Strokes
Clint Eastwood,"Gorillaz, Del The Funky Homosapien"
Talk Tonight - Remastered,Oasis
Cherry Waves,Deftones
From the Subway Train,Vansire
"Think Of Me Once In A While, Take Care",Take Care
No Surprises,Radiohead
Those Eyes,New West
Dark Vacay,Cigarettes After Sex
With A Dream Of You,late night drive home
Body Paint,Arctic Monkeys
Tek It,Cafuné
Starry Eyes,Cigarettes After Sex
aisatsana [102],Aphex Twin
There’d Better Be A Mirrorball,Arctic Monkeys
The Sound of Silence - Acoustic Version,"Simon & Garfunkel"
Tejano Blue,Cigarettes After Sex
Everybody Wants To Rule The World,Tears For Fears
Show Me How,Men I Trust
Bags,Clairo
Walking On A Dream,Empire Of The Sun
Where'd All the Time Go?,Dr. Dog
Nadja,Unknown Mortal Orchestra
rises the moon,Liana Flores
Motion Picture Soundtrack,Cigarettes After Sex
Heavenly,Cigarettes After Sex
Jealous,Eyedress
Crimewave,Crystal Castles
Sunsetz,Cigarettes After Sex
Moonlight on the River,Mac DeMarco
Sweater Weather,The Neighbourhood
About You,The 1975
The Night We Met,Lord Huron
Apocalypse,Cigarettes After Sex
Video Games,Lana Del Rey
Bad Habit,Steve Lacy
Mrs Magic,Strawberry Guy
Telephones,Vacations
Borderline,Tame Impala
The Less I Know The Better,Tame Impala
Exit Music (For A Film),Radiohead
Duvet,bôa
(It Goes Like) Nanana - Edit,Peggy Gou
"New Person, Same Old Mistakes",Tame Impala
Lost Soul,NBSPLV
Space Song,Beach House
Where's My Love,SYML
Experience,"Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani"
505,Arctic Monkeys
Stolen Dance,Milky Chance
SLOW DANCING IN THE DARK,Joji
Autumn Wind,DVRST
you not the same,TileKid
Swing Lynn,Harmless
help_urself,Ezekiel
Little Dark Age,MGMT
After Dark,Mr.Kitty
Renee,SALES
Night Trouble,Petit Biscuit
Flashing Lights,"Kanye West, Dwele"
moment,Vierre Cloud
Close Eyes,DVRST
Call me,90sFlav
Street Spirit (Fade Out),Radiohead
Sugar for the Pill,Slowdive
Under the Pressure,The War on Drugs
Nightcall,Kavinsky
Shadow,Chromatics
Dreams Tonite,Alvvays
Sleep Apnea,Beach Fossils
Alps,Motorama
Bloodbuzz Ohio,The National
Obstacle 1,Interpol
Gooey,Glass Animals
Nocturne,Wild Nothing
Ветер,ДК Посторонних
Under Your Spell,Desire
Under the Sun,DIIV
Your Love (Déjà Vu),Glass Animals
Daydream,The Aces
Space Song,Beach House
Myth,Beach House
Sunset,The xx
Intro,The xx
Reckless,Crystal Castles
New Flesh,Current Joys
A Different Age,Current Joys
The Perfect Girl,The Cure
Pictures of You,The Cure
Just Like Heaven,The Cure
Vienna,Ultravox
Atmosphere,Joy Division
Disorder,Joy Division
Age of Consent,New Order
The Suburbs,Arcade Fire
Ready to Start,Arcade Fire
Rebellion (Lies),Arcade Fire
Wake Up,Arcade Fire
Anthems For A Seventeen Year-Old Girl,Broken Social Scene
Lover's Spit,Broken Social Scene
Heart of Chambers,Beach House
Silver Soul,Beach House
Norway,Beach House
Zebra,Beach House
Walk in the Park,Beach House
On the Sea,Beach House
Pink Rabbits,The National
I Need My Girl,The National
Fake Empire,The National
About Today,The National
This Is the Day,The The
Strangers,The Kinks
St. Elmo's Fire (Man in Motion),John Parr
Head Over Heels / Broken,Tears for Fears
Everybody Wants To Rule The World,Tears for Fears
Marlene Dietrich,black midi
The Killing Moon,Echo & the Bunnymen
Lips Like Sugar,Echo & the Bunnymen
If You Leave,OMD
Souvenir,OMD
So in Love,OMD
Heroes,David Bowie
Modern Love,David Bowie
Life on Mars?,David Bowie
Ashes to Ashes,David Bowie
West End Girls,Pet Shop Boys
Love My Way,The Psychedelic Furs
The Ghost in You,The Psychedelic Furs
Pale Blue Eyes,The Velvet Underground
Oh! Sweet Nuthin',The Velvet Underground
Fade Into You,Mazzy Star
The Night,Chromatics
Cherry,Chromatics
I Can't Keep Running,The fin.
Cigarette,The fin.
Videotape,Radiohead
How to Disappear Completely,Radiohead
All I Need,Radiohead
Jigsaw Falling Into Place,Radiohead
Nude,Radiohead
Weird Fishes/Arpeggi,Radiohead
Let Down,Radiohead
No Surprises,Radiohead
Motion Picture Soundtrack,Radiohead
